NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT03468153,Dual Specificity CD19 and CD22 CAR-T Cell Immunotherapy for CD19+CD22+ Relapsed and Refractory Lymphoma,https://clinicaltrials.gov/study/NCT03468153,UNKNOWN,Lymphoma,BIOLOGICAL: Dual Specificity CD19 and CD22 CAR-T Cell Immunotherapy,Ruijin Hospital,"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",INTERVENTIONAL
NCT02349698,A Clinical Research of CAR T Cells Targeting CD19 Positive Malignant B-cell Derived Leukemia and Lymphoma,https://clinicaltrials.gov/study/NCT02349698,UNKNOWN,Leukemia|Lymphoma,BIOLOGICAL: Chimeric Antigen Receptor Modified T cells Targeting CD19,"Southwest Hospital, China",,INTERVENTIONAL
NCT05574114,A Study of Radiation Therapy Before CAR T Cell Therapy for People With B Cell Lymphoma,https://clinicaltrials.gov/study/NCT05574114,ACTIVE_NOT_RECRUITING,"Non-Hodgkin Lymphoma|Non-Hodgkin's Lymphoma, Relapsed|Non-Hodgkin's Lymphoma Refractory",RADIATION: Bridging radiotherapy (BRT)|DRUG: Conditioning chemotherapy|BIOLOGICAL: CAR T-cell product,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT05665062,Autologous CD19 CAR-T Cell Therapy (SYNCAR-001) + Orthogonal IL-2 (STK-009) in Subjects With CD19+ Hematologic Malignancies,https://clinicaltrials.gov/study/NCT05665062,ACTIVE_NOT_RECRUITING,CLL/SLL|NHL|Mantle Cell Lymphoma|Follicular Lymphoma|Large B-cell Lymphoma|Indolent B-Cell Non-Hodgkin Lymphoma|Diffuse Large B Cell Lymphoma,DRUG: SYNCAR-001|DRUG: STK-009|DRUG: Cyclophosphamide|DRUG: Fludarabine,Synthekine,,INTERVENTIONAL
NCT00724061,Study of Pegylated Interferon-Alfa 2b in Combination With PUVA Therapy In CTCL,https://clinicaltrials.gov/study/NCT00724061,TERMINATED,Lymphoma,BIOLOGICAL: Pegylated interferon α-2b|OTHER: Psoralens with ultraviolet light A|OTHER: Narrowband-ultraviolet light B,Northwestern University,National Cancer Institute (NCI),INTERVENTIONAL
NCT00003741,Monoclonal Antibody Therapy in Treating Patients With Refractory Anaplastic Large Cell Lymphoma or Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT00003741,COMPLETED,Lymphoma,BIOLOGICAL: monoclonal antibody HeFi-1,Beth Israel Deaconess Medical Center,,INTERVENTIONAL
NCT04512716,Iomab-ACT: a Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients with Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma,https://clinicaltrials.gov/study/NCT04512716,RECRUITING,"B-ALL|DLBCL|B ALL|Dlbcl-Ci|DLBCL Unclassifiable|DLBCL, Nos Genetic Subtypes|DLBCL Activated B-Cell Type|DLBCL Germinal Center B-Cell Type|Diffuse Large B-cell Lymphoma|HGBL|HGBL, Nos",DRUG: 131-I Apamistamab|BIOLOGICAL: CAR T-cell,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT03434769,AntiCD19 Chimeric Antigen Receptor T Cells for Relapsed or Refractory Non Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT03434769,ACTIVE_NOT_RECRUITING,Non-Hodgkin Lymphoma,DRUG: Cyclophosphamide|DRUG: Fludarabine|BIOLOGICAL: CAR-T Cells,Benjamin Tomlinson,,INTERVENTIONAL
NCT06716164,Safety and Efficacy of Metabolically Armed CD19 CAR-T Cells (Meta10-19) in the Treatment of r/r B-NHL Clinical Research,https://clinicaltrials.gov/study/NCT06716164,RECRUITING,"Non-hodgkin Lymphoma,B Cell",DRUG: Metabolically Armed CD19 CAR-T cells,Zhejiang University,"Leman Biotech Co., Ltd.",INTERVENTIONAL
NCT01389427,"Escalating Doses of Torisel in Combination With Three Chemotherapies Regimens: R-CHOP, R-FC or R-DHA for Patients With Relapsed/Refractory Mantle Cell Lymphoma (MCL).",https://clinicaltrials.gov/study/NCT01389427,COMPLETED,Mantle Cell Lymphoma Refractory,DRUG: Torisel dose 15 mg and R-CHOP|DRUG: Torisel dose 15 mg and R-FC|DRUG: Torisel dose 15 mg and R-DHA|DRUG: Torisel dose 25 mg and R-CHOP|DRUG: Torisel dose 50 mg and R-CHOP|DRUG: Torisel dose 75 mg and R-CHOP|DRUG: Torisel dose 25 mg and R-FC|DRUG: Torisel dose 50 mg and R-FC|DRUG: Torisel dose 75 mg and R-FC|DRUG: Torisel dose 25 mg and R-DHA|DRUG: Torisel dose 50 mg and R-DHA|DRUG: Torisel 75 mg and R-DHA,The Lymphoma Academic Research Organisation,French Innovative Leukemia Organisation,INTERVENTIONAL
NCT04312841,Letermovir for the Prevention of Cytomegalovirus Reactivation in Patients With Hematological Malignancies Treated With Alemtuzumab,https://clinicaltrials.gov/study/NCT04312841,COMPLETED,B-Cell Prolymphocytic Leukemia|Chronic Lymphocytic Leukemia|Peripheral T-Cell Lymphoma|Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Sezary Syndrome|T-Cell Prolymphocytic Leukemia,DRUG: Letermovir,Ohio State University Comprehensive Cancer Center,Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT00079755,Study of SGN-30 (Antibody) in Patients With Refractory or Recurrent Anaplastic Large Cell Lymphoma,https://clinicaltrials.gov/study/NCT00079755,COMPLETED,Anaplastic Large-Cell Lymphoma,DRUG: SGN-30 (anti-CD30 mAb),Seagen Inc.,,INTERVENTIONAL
NCT06120166,Safety and Efficacy of Metabolically Armed CD19 CAR-T Cells (Meta10-19) in the Treatment of r/r DLBCL Clinical Research,https://clinicaltrials.gov/study/NCT06120166,RECRUITING,Diffuse Large B-cell Lymphoma,DRUG: Metabolically Armed CD19 CAR-T cells,He Huang,"Leman Biotech Co., Ltd.",INTERVENTIONAL
NCT05784415,Observational Study of People Living With HIV Treated With CD19-directed CAR T Cell,https://clinicaltrials.gov/study/NCT05784415,ACTIVE_NOT_RECRUITING,"Leukemia|Leukemia, Lymphoblastic|Lymphoma, Large B-Cell, Diffuse|Follicular Lymphoma|Lymphoma, B-Cell|Lymphoma, Follicular|Lymphoma, Non-Hodgkin|HIV Infections|HIV Associated Lymphoma|HIV Disease; Lymphoma",,AIDS Malignancy Consortium,Center for International Blood and Marrow Transplant Research,OBSERVATIONAL
NCT04319601,Rituximab Combined With Chidamide and Lenalidomide for r/r AITL,https://clinicaltrials.gov/study/NCT04319601,UNKNOWN,Angioimmunoblastic T-cell Lymphoma|Chemotherapy Effect|Chemotherapeutic Toxicity,DRUG: Rituximab,Zhejiang Cancer Hospital,,INTERVENTIONAL
NCT04661020,CD19 CAR-T Therapy for Patients With B-cell Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT04661020,RECRUITING,"Non-hodgkin Lymphoma,B Cell",DRUG: CD19 CAR-T cells,Zhejiang University,Yake Biotechnology Ltd.,INTERVENTIONAL
NCT05596266,CD5 CAR-T Therapy for Refractory/Relapsed CD5+ T-cell Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT05596266,RECRUITING,T-cell Acute Lymphoblastic Leukemia,BIOLOGICAL: CD5 CAR-T,"Xuanwu Hospital, Beijing",Baoding Children's Hospital,INTERVENTIONAL
NCT04134325,Study of PD-1 Inhibitors After CD30.CAR T Cell Therapy in Relapsed/Refractory Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT04134325,ACTIVE_NOT_RECRUITING,Relapsed Hodgkin Lymphoma|Refractory Hodgkin Lymphoma,BIOLOGICAL: Nivolumab|BIOLOGICAL: Pembrolizumab,UNC Lineberger Comprehensive Cancer Center,American Society of Clinical Oncology,INTERVENTIONAL
NCT02840747,Tissue Repository: CTCL Collection Protocol,https://clinicaltrials.gov/study/NCT02840747,RECRUITING,"Lymphoma, T-Cell, Cutaneous|Lymphomatoid Papulosis|Sézary Syndrome",,Columbia University,,OBSERVATIONAL
NCT04288726,Allogeneic CD30.CAR-EBVSTs in Patients with Relapsed or Refractory CD30-Positive Lymphomas,https://clinicaltrials.gov/study/NCT04288726,RECRUITING,"Extranodal Natural Killer/T-Cell Lymphoma, Nasal Type|Classical Hodgkin Lymphoma",BIOLOGICAL: CD30.CAR-EBVST cells,Baylor College of Medicine,The Methodist Hospital Research Institute,INTERVENTIONAL
NCT06849401,The Safety and Efficacy of VGO-Cs01p in Patients With CD7-positive Relapsed/Refractory Acute T-lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT06849401,NOT_YET_RECRUITING,T-ALL,BIOLOGICAL: VGO-Cs01p,Shanghai Jiao Tong University School of Medicine,"Shanghai Vitalgen BioPharma Co., Ltd.",INTERVENTIONAL
NCT04752826,BI-1808 As a Single Agent and with Pembrolizumab (KEYTRUDA® ) in Treatment of Advanced Malignancies(Keynote-D20),https://clinicaltrials.gov/study/NCT04752826,RECRUITING,Advanced Malignancies|Ovarian Cancer|T-cell Lymphoma|Melanoma,DRUG: BI-1808|DRUG: Pembrolizumab (KEYTRUDA® ) 25 Mg/mL Solution for Injection,BioInvent International AB,Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT02721407,Anti-CD22 CAR-T Therapy for CD19-refractory or Resistant Lymphoma Patients,https://clinicaltrials.gov/study/NCT02721407,UNKNOWN,Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Stage III/IV Adult Diffuse Large Cell Lymphoma|Stage III/IV Follicular Lymphoma|Stage III/IV Mantle Cell Lymphoma,DRUG: Retroviral vector-transduced autologous T cells to express CD22-specific CARs,Xinqiao Hospital of Chongqing,Xuzhou Medical University,INTERVENTIONAL
NCT04503538,Telemedicine for Early Detection of Cytokine Release Syndrome and Neurotoxicity,https://clinicaltrials.gov/study/NCT04503538,WITHDRAWN,Large B-cell Lymphoma|Diffuse Large B Cell Lymphoma|Primary Mediastinal Large B Cell Lymphoma|High-grade B-cell Lymphoma|Follicular Lymphoma,OTHER: Telemedicine visit,Wake Forest University Health Sciences,,INTERVENTIONAL
NCT05715606,Safety and Efficacy of Metabolically Armed CD19 CAR-T Cells (Meta10-19) in the Treatment of r/r DLBCL Clinical Research,https://clinicaltrials.gov/study/NCT05715606,UNKNOWN,Diffuse Large B-cell Lymphoma,DRUG: Metabolically Armed CD19 CAR-T cells,Anhui Provincial Hospital,"Leman Biotech Co., Ltd.",INTERVENTIONAL
NCT01614197,A Trial of Temsirolimus With Etoposide and Cyclophosphamide in Children With Relapsed Acute Lymphoblastic Leukemia and Non-Hodgkins Lymphoma,https://clinicaltrials.gov/study/NCT01614197,COMPLETED,"Lymphoblastic Leukemia, Acute, Childhood|Lymphoblastic Lymphoma|Peripheral T-cell Lymphoma",DRUG: Temsirolimus|DRUG: Etoposide|DRUG: Cyclophosphamide|DRUG: Methotrexate|DRUG: Hydrocortisone|DRUG: Cytarabine,Therapeutic Advances in Childhood Leukemia Consortium,Pfizer,INTERVENTIONAL
NCT00002557,Combination Chemotherapy in Patients With Advanced or Recurrent Mycosis Fungoides,https://clinicaltrials.gov/study/NCT00002557,UNKNOWN,Lymphoma,DRUG: CHOP regimen|DRUG: doxorubicin hydrochloride|DRUG: etoposide|DRUG: leucovorin calcium|DRUG: methotrexate,National Cancer Institute (NCI),,INTERVENTIONAL
NCT04664179,EBV Specific T-Lymphocytes for Treatment of EBV-Positive Lymphoma,https://clinicaltrials.gov/study/NCT04664179,RECRUITING,EBV-Related Hodgkin Lymphoma|EBV-Related Lymphoproliferative Disorder|EBV Related Non-Hodgkin's Lymphoma,BIOLOGICAL: Dose Level 1A: 2 x 10^7 cells/m2|BIOLOGICAL: Dose Level 2A: 6 x 10^7 cells/m2|BIOLOGICAL: Dose Level 2B: 6 x 10^7 cells/m2|BIOLOGICAL: Dose Level 3B: 2 x 10^8 cells/m2|BIOLOGICAL: Dose Level 3A: 2 x 10^8 cells/m2,Baylor College of Medicine,The Methodist Hospital Research Institute|National Cancer Institute (NCI),INTERVENTIONAL
NCT00002479,Tretinoin in Treating Patients With Mycosis Fungoides or Sezary Syndrome,https://clinicaltrials.gov/study/NCT00002479,COMPLETED,Lymphoma,DRUG: tretinoin,Northwestern University,National Cancer Institute (NCI),INTERVENTIONAL
NCT00051597,A Safety/Efficacy Study of SGN-30 (Antibody) in Patients With Refractory or Recurrent CD30+ Hematologic Malignancies,https://clinicaltrials.gov/study/NCT00051597,COMPLETED,"Hodgkin Disease|Lymphoma, Large-Cell|Sarcoma, Kaposi|Lymphoma, T-Cell, Cutaneous|Lymphoma, B-Cell",DRUG: SGN-30 (monoclonal antibody),Seagen Inc.,,INTERVENTIONAL
NCT03540303,Cytoplasmic Activated PD-1 CAR T Cells in Refractory/Relapsed B Cell Lymphoma,https://clinicaltrials.gov/study/NCT03540303,UNKNOWN,Relapsed Non Hodgkin Lymphoma,DRUG: CAR19 T cells carrying cytoplasmic activated PD-1,Henan Cancer Hospital,"The Pregene (ShenZhen) Biotechnology Company, Ltd.",INTERVENTIONAL
NCT04637763,CRISPR-Edited Allogeneic Anti-CD19 CAR-T Cell Therapy for Relapsed/Refractory B Cell Non-Hodgkin Lymphoma (ANTLER),https://clinicaltrials.gov/study/NCT04637763,RECRUITING,"Lymphoma, Non-Hodgkin|Relapsed Non Hodgkin Lymphoma|Refractory B-Cell Non-Hodgkin Lymphoma|Non Hodgkin Lymphoma|Lymphoma|B Cell Lymphoma|B Cell Non-Hodgkin's Lymphoma",GENETIC: CB-010|DRUG: Cyclophosphamide|DRUG: Fludarabine,"Caribou Biosciences, Inc.",,INTERVENTIONAL
NCT05064787,Evaluating the Feasibility of a Digital Health Coaching Program for Individuals Following CAR T Therapy,https://clinicaltrials.gov/study/NCT05064787,COMPLETED,"Lymphoma|Lymphoma, B-Cell|Leukemia|Multiple Myeloma|Mantle Cell Lymphoma|Follicular Lymphoma|Leukemia, Acute Lymphoblastic",BEHAVIORAL: Digital Health Coaching,Pack Health,M.D. Anderson Cancer Center|Bristol-Myers Squibb,INTERVENTIONAL
NCT04316624,A Study of C-CAR066 in Subjects With r/r Diffuse Large B Cell Lymphoma Who Received CD19 CAR-T Therapy,https://clinicaltrials.gov/study/NCT04316624,COMPLETED,Diffuse Large B Cell Lymphoma,DRUG: C-CAR066,"Institute of Hematology & Blood Diseases Hospital, China",Shanghai AbelZeta Ltd.,INTERVENTIONAL
NCT04410900,Vaccine Responsiveness After CAR-T Cell Therapy,https://clinicaltrials.gov/study/NCT04410900,ACTIVE_NOT_RECRUITING,B-Cell Neoplasm,BIOLOGICAL: Wistar Rabies Virus Strain PM-1503-3M Vaccine|PROCEDURE: Biospecimen Collection,Fred Hutchinson Cancer Center,,INTERVENTIONAL
NCT04214886,CD19 Chimeric Antigen Receptor (CAR) T Cells for Adults With Recurrent or Refractory B Cell Malignancies,https://clinicaltrials.gov/study/NCT04214886,ACTIVE_NOT_RECRUITING,"B-Cell Acute Lymphoblastic Leukemia, Adult|B-cell Lymphoma Refractory|B-cell Lymphoma Recurrent",DRUG: Fludarabine|DRUG: Cyclophosphamide|BIOLOGICAL: CD19-CD34 CAR transduced T cells,Loyola University,Leukemia Research Foundation,INTERVENTIONAL
NCT03618238,Anlotinib for Advanced and Refractory Natural Killer /T-cell Lymphoma,https://clinicaltrials.gov/study/NCT03618238,COMPLETED,"Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type",DRUG: Anlotinib,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",,INTERVENTIONAL
NCT00368082,"Autologous/Allogeneic TGFbeta-resistant LMP-specific CTL, Lymphoma (TGF-beta)",https://clinicaltrials.gov/study/NCT00368082,ACTIVE_NOT_RECRUITING,"Lymphoma|Hodgkin's Disease|Relapse|Lymphoma, Non-Hodgkin",BIOLOGICAL: TGFbeta resistant LMP-specific CTLs,Baylor College of Medicine,"The Methodist Hospital Research Institute|Center for Cell and Gene Therapy, Baylor College of Medicine",INTERVENTIONAL
NCT03579888,CD19-Specific T Cells Post AlloSCT,https://clinicaltrials.gov/study/NCT03579888,TERMINATED,"B Acute Lymphoblastic Leukemia With t(v;11q23.3); KMT2A Rearranged|Recurrent B Acute Lymphoblastic Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Recurrent Mantle Cell Lymphoma|Recurrent Non-Hodgkin Lymphoma|Recurrent Ph-Like Acute Lymphoblastic Leukemia|Recurrent Primary Mediastinal (Thymic) Large B-Cell Cell Lymphoma|Recurrent Small Lymphocytic Lymphoma|Refractory B Acute Lymphoblastic Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|Refractory Mantle Cell Lymphoma|Refractory Non-Hodgkin Lymphoma|Refractory Ph-Like Acute Lymphoblastic Leukemia|Refractory Primary Mediastinal (Thymic) Large B-Cell Cell Lymphoma|Refractory Small Lymphocytic Lymphoma",BIOLOGICAL: Autologous CD19-CD8-CD28-CD3zeta-CAR-mbIL15-HER1t T Cells|DRUG: Cyclophosphamide|DRUG: Fludarabine,M.D. Anderson Cancer Center,Ziopharm Oncology,INTERVENTIONAL
NCT00177190,In Vitro Evaluation of Immune Responses in Cutaneous T-Cell Lymphoma (CTCL),https://clinicaltrials.gov/study/NCT00177190,COMPLETED,Cutaneous T-cell Lymphoma|Sezary Syndrome|Mycosis Fungoides,,University of Pittsburgh,,OBSERVATIONAL
NCT01098656,Lenalidomide Maintenance Post-debulking in Advanced CTCL,https://clinicaltrials.gov/study/NCT01098656,TERMINATED,Lymphoma,DRUG: lenalidomide,European Organisation for Research and Treatment of Cancer - EORTC,,INTERVENTIONAL
NCT06651203,"Evaluation of the KIR3DL2 Marker in Flow Cytometry for Sézary Syndrome Diagnosis, Therapeutic Response and Residual Disease: a Prospective and Multicenter Study",https://clinicaltrials.gov/study/NCT06651203,NOT_YET_RECRUITING,Mycosis Fungoides/Sezary Syndrome|Cutaneous T Cell Lymphoma,OTHER: Follow-up,Assistance Publique - Hôpitaux de Paris,,OBSERVATIONAL
NCT04049513,ENABLE-1 (Engaging Toll-like Receptor Signalling for B-cell Lymphoma Chimeric Antigen Receptor Therapy),https://clinicaltrials.gov/study/NCT04049513,ACTIVE_NOT_RECRUITING,Lymphomas Non-Hodgkin's B-Cell|Diffuse Large B-cell Lymphoma (DLBCL)|Primary Mediastinal B-cell Lymphoma (PMBCL)|Transformed Follicular Lymphoma (TFL)|Follicular Lymphoma (FL)|Mantle Cell Lymphoma (MCL),BIOLOGICAL: WZTL002-1 (1928T2z CAR-T cells)|DRUG: Cyclophosphamide and Fludarabine lymphodepleting chemotherapy,Malaghan Institute of Medical Research,Wellington Zhaotai Therapies Limited,INTERVENTIONAL
NCT02576496,"Study of Tinostamustine, First-in-Class Alkylating HDACi Fusion Molecule, in Relapsed/Refractory Hematologic Malignancies",https://clinicaltrials.gov/study/NCT02576496,COMPLETED,Hematological Malignancies|Multiple Myeloma|Hodgkin's Lymphoma|Cutaneous T Cell Lymphoma,DRUG: Tinostamustine,Mundipharma Research Limited,,INTERVENTIONAL
NCT05130489,CAR T Cell Therapy Related Cardiovascular Outcomes,https://clinicaltrials.gov/study/NCT05130489,COMPLETED,Cardiovascular Diseases|B-cell Acute Lymphoblastic Leukemia|B-cell Lymphoma Refractory|B-cell Lymphoma Recurrent|Primary Mediastinal Large B-cell Lymphoma (PMBCL)|Diffuse Large B Cell Lymphoma|Cardiotoxicity|Cardiovascular Complication,,University College London Hospitals,,OBSERVATIONAL
NCT05098613,Preliminary Safety and Tolerability of CD19x22 CAR T Cells in Adolescent and Adult R/R B-NHL Patients,https://clinicaltrials.gov/study/NCT05098613,RECRUITING,Non-Hodgkin Lymphoma,DRUG: CD19x22 CAR T Cells,"University of Colorado, Denver",,INTERVENTIONAL
NCT05641428,Comparison of Point-of-care Produced CAR T-cell with Commercial CAR T-cells in Patients with R/R LBCL,https://clinicaltrials.gov/study/NCT05641428,RECRUITING,NHL|DLBCL - Diffuse Large B Cell Lymphoma,DRUG: ARI-0001|DRUG: Axi-cel,University Medical Center Groningen,Stichting Hemato-Oncologie voor Volwassenen Nederland,INTERVENTIONAL
NCT04004572,"Sintilimab, Pegaspargase and Anlotinib for Stage IV Natural Killer /T-cell Lymphoma",https://clinicaltrials.gov/study/NCT04004572,UNKNOWN,"Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type",DRUG: LEAP regimen,Rong Tao,,INTERVENTIONAL
NCT05281809,Local Manufacture of CAR T-Cell Products for the Treatment of B-Cell Lymphoma and B-Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT05281809,RECRUITING,B-Cell Lymphoma|B Acute Lymphoblastic Leukemia|Diffuse Large B Cell Lymphoma|Mantle Cell Lymphoma|Follicular Lymphoma|Marginal Zone Lymphoma|Lymphoplasmacytic Lymphoma|Chronic Lymphocytic Leukemia|Transformed Lymphoma,DRUG: Chimeric Antigen Receptor (CAR) T-Cell Product (Autologous),John Lister,"Lentigen Technology, Inc.|Miltenyi Biotec, Inc.|Allegheny Health Network",INTERVENTIONAL
NCT00074087,"Liposomal Doxorubicin in Treating Patients With Stage IIB, Stage IVA, or Stage IVB Recurrent or Refractory Mycosis Fungoides",https://clinicaltrials.gov/study/NCT00074087,COMPLETED,Lymphoma,DRUG: pegylated liposomal doxorubicin hydrochloride,European Organisation for Research and Treatment of Cancer - EORTC,,INTERVENTIONAL
NCT01181271,Tandem Auto-Allo Transplant for Lymphoma,https://clinicaltrials.gov/study/NCT01181271,COMPLETED,"Diffuse, Large B-Cell, Lymphoma|Lymphoma, Low-Grade|T-Cell Lymphoma|Mantle-Cell Lymphoma|Hodgkin's Lymphoma|Chronic Lymphocytic Leukemia|Lymphoma, Small Lymphocytic",DRUG: Busulfan (conditioning for AUTO transplant)|DRUG: Etoposide (conditioning for AUTO transplant)|DRUG: Cyclophosphamide (conditioning for AUTO transplant)|DRUG: Mesna (prior to AUTO transplant)|OTHER: autologous (auto) peripheral blood stem cell transplantation|DRUG: Neupogen|DRUG: Fludarabine (conditioning for ALLO Transplant)|DRUG: Busulfan (conditioning for ALLO Transplant)|OTHER: non-myeloablative allogeneic (allo) transplant|DRUG: Tacrolimus|DRUG: Sirolimus|DRUG: Methotrexate,Massachusetts General Hospital,Dana-Farber Cancer Institute,INTERVENTIONAL
NCT00002687,Interleukin-2 in Treating Patients With Mycosis Fungoides,https://clinicaltrials.gov/study/NCT00002687,COMPLETED,Lymphoma,BIOLOGICAL: aldesleukin,University of Washington,,INTERVENTIONAL
